a_sku_id,b_url,c_price,c_price1,c_price2_x,c_price3_x,c_price4_x,c_price5_x,c_price6_x,c_price7_x,c_price8_x,c_price9_x,c_price10_x,c_price2_y,c_price3_y,c_price4_y,c_price5_y,c_price6_y,c_price7_y,c_price8_y,c_price9_y,c_price10_y,c_price2,d2018-11-02 10:28:55
748273,http://www.banggo.com/goods/748273.shtml,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,129.9,122.9,122.9,129.9
748275,http://www.banggo.com/goods/748275.shtml,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,129.9,129.9,239.0
748279,http://www.banggo.com/goods/748279.shtml,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,145.9,145.9,153.9
748298,http://www.banggo.com/goods/748298.shtml,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,129.9,129.9,239.0
748302,http://www.banggo.com/goods/748302.shtml,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,129.9,136.9,239.0
749006,http://www.banggo.com/goods/749006.shtml,61.9,61.9,61.9,61.9,61.9,61.9,61.9,99.9,99.9,,64.935,64.935,99.9,6.993000000000001,6.993000000000001,7.992000000000001,7.992000000000001,99.9,99.9,99.9,64.935,69.93
749007,http://www.banggo.com/goods/749007.shtml,114.9,114.9,114.9,114.9,114.9,114.9,114.9,107.9,107.9,,107.9,107.9,107.9,107.9,107.9,107.9,107.9,107.9,107.9,107.9,107.9,134.9
749016,http://www.banggo.com/goods/749016.shtml,102.9,102.9,102.9,102.9,,102.9,102.9,95.9,95.9,,95.9,95.9,102.9,102.9,102.9,95.9,95.9,102.9,102.9,95.9,95.9,102.9
749023,http://www.banggo.com/goods/749023.shtml,102.9,102.9,102.9,102.9,102.9,102.9,102.9,95.9,95.9,,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,119.9
749026,http://www.banggo.com/goods/749026.shtml,109.9,109.9,109.9,109.9,109.9,109.9,109.9,109.9,109.9,,71.435,71.435,109.9,7.693000000000001,7.693000000000001,8.792,8.792,109.9,109.9,109.9,71.435,90.93
749038,http://www.banggo.com/goods/749038.shtml,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,,90.935,90.935,139.9,9.793,9.793,11.192,11.192,139.9,139.9,139.9,90.935,111.23000000000002
749039,http://www.banggo.com/goods/749039.shtml,139.9,139.9,139.9,139.9,139.9,139.9,139.9,107.9,107.9,,107.9,107.9,107.9,107.9,107.9,107.9,107.9,107.9,107.9,107.9,107.9,125.9
749040,http://www.banggo.com/goods/749040.shtml,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,,90.935,90.935,139.9,9.793,9.793,11.192,11.192,139.9,139.9,139.9,90.935,111.23000000000002
749041,http://www.banggo.com/goods/749041.shtml,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,,90.935,90.935,139.9,9.793,9.793,11.192,11.192,139.9,139.9,139.9,90.935,111.23000000000002
749051,http://www.banggo.com/goods/749051.shtml,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.9,,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.9,83.9,83.9,199.0
749054,http://www.banggo.com/goods/749054.shtml,102.9,102.9,102.9,102.9,102.9,102.9,102.9,95.9,95.9,,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9
749058,http://www.banggo.com/goods/749058.shtml,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9
749060,http://www.banggo.com/goods/749060.shtml,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9
749061,http://www.banggo.com/goods/749061.shtml,83.9,83.9,83.9,83.9,,83.9,83.9,83.9,83.9,,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,79.9,79.9,83.9
749062,http://www.banggo.com/goods/749062.shtml,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,145.9,153.9,269.0
749064,http://www.banggo.com/goods/749064.shtml,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,88.9,88.9,199.0
749067,http://www.banggo.com/goods/749067.shtml,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,,110.9,110.9,110.9,110.9,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0
749069,http://www.banggo.com/goods/749069.shtml,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9
749073,http://www.banggo.com/goods/749073.shtml,97.9,97.9,97.9,97.9,,97.9,97.9,97.9,97.9,,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,92.9,92.9,97.9
749076,http://www.banggo.com/goods/749076.shtml,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,97.9,92.9,92.9,97.9
